Date,Open,High,Low,Close,Volume,Adj Close
2014-09-26,184.75,185.60,183.22,185.12,1920200,185.12
2014-09-25,187.46,187.80,183.46,184.09,3074600,184.09
2014-09-24,185.26,188.12,184.47,187.81,2808100,187.81
2014-09-23,184.57,186.86,184.57,185.09,1944500,185.09
2014-09-22,186.00,186.95,185.10,185.29,1826100,185.29
2014-09-19,188.26,188.58,185.88,186.20,5424500,186.20
2014-09-18,185.83,188.43,185.50,187.89,3566600,187.89
2014-09-17,183.82,185.77,183.46,184.82,2820300,184.82
2014-09-16,183.90,184.56,182.80,184.04,2137600,184.04
2014-09-15,182.91,184.40,182.51,183.98,2308000,183.98
2014-09-12,180.63,183.47,180.63,183.17,3358600,183.17
2014-09-11,178.77,181.44,178.50,181.00,1905300,181.00
2014-09-10,178.33,180.18,178.12,179.87,2457800,179.87
2014-09-09,177.93,178.64,176.62,177.40,2598500,177.40
2014-09-08,179.58,180.92,179.22,180.11,1746400,180.11
2014-09-05,179.58,179.91,177.88,179.75,2562800,179.75
2014-09-04,179.93,181.60,179.55,180.08,1678500,180.08
2014-09-03,180.48,182.07,179.43,179.60,2397700,179.60
2014-09-02,179.26,180.22,178.38,179.77,1986300,179.77
2014-08-29,178.32,179.50,177.85,179.11,2560600,179.11
2014-08-28,177.05,177.75,175.89,177.65,1961800,177.65
2014-08-27,178.36,178.36,177.01,177.81,2073700,177.81
2014-08-26,178.47,179.15,177.81,177.90,3110600,177.35
2014-08-25,176.71,179.86,176.46,177.87,3063500,177.32
2014-08-22,175.35,176.98,174.83,175.47,2682000,174.93
2014-08-21,174.24,175.92,173.44,175.15,2075200,174.61
